Order_ID,Customer_ID,Transaction_Date,Customer_City,Product_Category,Quantity,Unit_Price,Discount_Rate,Total_Revenue,Payment_Method,Customer_Rating,Delivery_Status
ORD-1176,CUST-180,29-Jul-2023,  Chicago  ,Sports & Fitness,6,$464.73,0.05,2648.96,Debit,3.5,UNKNOWN
ORD-1132,CUST-241,04-Oct-2023,New York,Electronics,8,127.89 USD,25%,767.34,credit card,3.5,UNKNOWN
ORD-1006,CUST-224,"Feb 05, 2023",los angeles,Beauty & Care,7,€723.81,0.15,"$4,306.67",paypal,N/A,Pending
ORD-1084,CUST-114,2023/10/14 00:00:00,CHICAGO,Electronics,-1,$440.06,0%,$440.06,Debit,3.5,UNKNOWN
ORD-1456,CUST-210,10-Sep-2023,houston,Home & Kitchen,2,$562.04,5%,1067.88,Cryptocurrency,1,Returned
ORD-1311,CUST-236,2023-04-03,miami,Books,6,310.32 USD,15%,"$1,582.63",credit card,2,Cancelled
ORD-1333,CUST-152,2023-07-20,chicago,Electronics,5,83.53 USD,25%,$313.24,paypal,1,
ORD-1072,CUST-140,"Sep 13, 2023",New York,Beauty & Care,8,$725.51,0,"$5,804.08",Credit Card,3,Returned
ORD-1184,CUST-187,07/07/2023,Miami,Books,5,346.29,25%,"$1,298.59",PayPal,10,
ORD-1154,CUST-193,2023-08-20,chicago,Electronics,5,$417.55,0.05,"$1,983.36",paypal,4,Pending
ORD-1229,CUST-247,08/17/2023,LA,Home & Kitchen,7,542.58 USD,20%,"$3,038.45",N/A,-5,Returned
ORD-1304,CUST-180,2023-06-26,Seattle,Sports & Fitness,4,667.37 USD,0.1,"$2,402.53",Credit Card,4.5,In Transit
ORD-1093,CUST-124,09/26/2023,miami,Home & Kitchen,2,€289.19,25%,$433.78,apple pay,1,Delivered
ORD-1101,CUST-302,"Jul 04, 2023",Miami,Electronics,3,€490.54,0.3,"$1,030.13",N/A,2,
ORD-1010,CUST-114,"Jan 26, 2023",NEW YORK,Sports & Fitness,3,65.36 USD,0.2,156.86,N/A,4.5,Returned
