Account_ID,Company_Name,Subscription_Tier,Industry_Sector,Signup_Date,Monthly_Revenue_MRR,Active_User_Seats,Cloud_Storage_GB,Support_Tickets_Opened,Net_Promoter_Score,Customer_Churned,Product_Satisfaction
SAAS-5031,Corp_56 Inc,N/A,Other,2022-12-18,$96.90,N/A,132.9,15,5,No,1.4
SAAS-5258,Corp_947 Inc,STARTER,Logistics,2022-09-07,4795.03 USD,57,425.1,13,5,True,2.7
SAAS-5256,Corp_24 Inc,Professional Plan,Cybersecurity,2023-04-09,"$9,536.77",129,377.5,16,3,false,4.4
SAAS-5158,Corp_62 Inc,pro,E-commerce,2023-05-20,511.62,87,95.1,18,10,0,4.9
SAAS-5242,Corp_598 Inc,enterprise,Other,2022-09-27,1233.36 USD,136,83.0,22,4,yes,1.6
SAAS-5078,Corp_627 Inc,Professional,Healthtech,2022-09-03,96.53999999999999 USD,88,41.3,7,4,N,4.4
SAAS-5025,Corp_181 Inc,Professional Plan,Cybersecurity,2022-08-31,$325.23,59,489.5,11,6,true,4.1
SAAS-5207,Corp_980 Inc,Starter,Logistics,2023-07-31,$332.90,20,395.2,21,3,True,4.6
SAAS-5261,Corp_262 Inc,ENTERPRISE,Marketing,2022-07-27,"$2,411.38",28,79.5,16,9,True,2.4
SAAS-5249,Corp_711 Inc,enterprise,Marketing,2022-12-23,"$9,519.66",32,418.0,5,4,N,1.4
SAAS-5291,Corp_973 Inc,Professional Plan,Cybersecurity,2023-08-30,9542.97,26,53.1,25,7,N/A,2.3
SAAS-5254,Corp_433 Inc,Starter,Fintech,2023-01-26,4828.1 USD,68,42.5,20,5,0,2.0
SAAS-5276,Corp_89 Inc,Free Trial,E-commerce,N/A,2400.51,86,495.1,18,4,no,4.9
SAAS-5206,Corp_440 Inc,enterprise,Marketing,2023-04-09,"$4,818.44",95,350.0,9,1,1,2.6
SAAS-5250,Corp_238 Inc,PRO,Logistics,2022-08-23,"$9,492.00",135,48.1,20,2,true,2.9
SAAS-5161,Corp_152 Inc,N/A,Logistics,2022-06-13,513.25 USD,87,413.0,16,7,N/A,
SAAS-5041,Corp_688 Inc,Enterprise,Logistics,2023-02-06,$98.93,89,397.8,22,3,1,1.4
SAAS-5192,Corp_364 Inc,starter,Edtech,2022-09-30,"$1,198.07",85,null,9,3,True,2.5
SAAS-5022,Corp_670 Inc,Professional,Cybersecurity,2022-07-25,"$1,203.78",122,435.1,15,1,true,3.7
